"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
3092295,"       (2001 FC90)","2001 FC90",,,Y,N,0,21.68,,,,,,,,,,,,,,,,,,,"JPL 16",2460000.5,60000,2023-02-25.0,J2000,0.3781,1.82,1.132,12.64,7.53,192.82,324.17,2.51,0.4013,2460089.79,2023-05-25.2,897,2.46,0.137,53.2,2.45,3.93,6.2e-04,1.9e-03,7.3e-05,1.4e-02,3.1e-03,7.2e-03,5.1e+00,2.6e-03,6.4e-04,1.3e+01,1.4e+00,AMO,"Otto Matic",18,2001-03-26,2001-04-13,49,,,7,.39318,,,,,,,,,
3076737,"       (2001 FF90)","2001 FF90",,,Y,N,0,17.26,,,,,,,,,,,,,,,,,,,"JPL 92",2460000.5,60000,2023-02-25.0,J2000,0.6278,2.589,0.964,23.28,354.42,291.38,60.54,4.21,0.2366,2459744.62,2022-06-14.1,1.52e+03,4.17,0.171,66.7,1.93,3.02,3.3e-08,7.6e-09,8.5e-08,1.5e-05,1.8e-05,2.3e-05,5.8e-06,1.2e-08,1.0e-09,2.4e-05,6.7e-06,APO,"Otto Matic",7952,2001-03-16,2022-12-23,466,,,0,.4796,,,,,,,,,
3072291,"       (2001 FO127)","2001 FO127",,,Y,N,0,27.50,,,,,,,,,,,,,,,,,,,"JPL 16",2460000.5,60000,2023-02-25.0,J2000,0.1584,0.8885,0.748,7.31,189.11,200.93,217.18,1.03,1.177,2460121.86,2023-06-26.3,306,0.838,0.0166,6.48,4.2,6.67,4.3e-04,5.1e-05,3.4e-04,2.2e-02,1.7e-02,2.1e-03,3.6e+00,5.9e-05,1.0e-04,3.1e+00,2.6e-02,ATE,"Otto Matic",19,2001-03-30,2001-04-18,35,,,6,.58025,,,,,,,,,
3076747,"       (2001 FR128)","2001 FR128",,,Y,N,0,19.90,,,,,,,,,,,,,,,,,,,"JPL 28",2460000.5,60000,2023-02-25.0,J2000,0.4040,1.244,0.742,45.33,183.91,123.33,221.90,1.75,0.7103,2460194.93,2023-09-07.4,507,1.39,0.141,54.9,3.95,4.81,4.0e-07,2.8e-09,5.0e-07,4.0e-05,9.6e-06,3.6e-05,2.8e-05,3.9e-09,2.4e-09,4.0e-05,1.7e-06,APO,"Otto Matic",6624,2001-03-24,2019-05-13,146,,,0,.50337,,,,,,,,,
3076772,"       (2001 GL2)","2001 GL2",,,Y,N,0,20.47,,,,,,,,,,,,,,,,,,,"JPL 12",2452009.5,52009,2001-04-10.0,J2000,0.6416,2.654,0.951,35.08,192.55,42.43,352.76,4.36,0.2279,2452041.29,2001-05-11.7,1.58e+03,4.32,0.053,20.6,1.35,2.86,1.3e-02,9.8e-02,3.4e-04,3.5e-01,6.7e-02,2.1e-01,4.6e-01,1.6e-01,1.3e-02,2.7e-01,8.8e+01,APO,"Otto Matic",13,2001-04-03,2001-04-16,21,,,9,.75745,,,,,,,,,
3076773,"       (2001 GM2)","2001 GM2",,,Y,N,0,20.44,,,,,,,,,,,,,,,,,,,"JPL 35",2460000.5,60000,2023-02-25.0,J2000,0.4848,1.678,0.864,21.17,37.40,100.55,44.44,2.49,0.4535,2459902.49,2022-11-18.9,794,2.17,0.111,43.2,2.8,4.03,1.5e-07,9.5e-09,2.6e-07,4.0e-05,2.2e-05,4.1e-05,3.4e-05,1.4e-08,3.8e-09,7.5e-05,6.7e-06,APO,"Otto Matic",4784,2001-04-12,2014-05-18,142,,,0,.46503,,,,,,,,,
3092296,"       (2001 GO2)","2001 GO2",,,Y,N,0,24.30,,,,,,,,,,,,,,,,,,,"JPL 13",2460000.5,60000,2023-02-25.0,J2000,0.1682,1.007,0.837,4.62,193.52,265.51,322.62,1.18,0.9759,2460038.80,2023-04-04.2,369,1.01,0.00399,1.55,3.92,6.03,6.1e-04,3.1e-05,5.9e-04,1.9e-02,1.3e-03,2.4e-02,6.1e-01,3.6e-05,4.5e-05,6.3e-01,1.7e-02,APO,"Otto Matic",4,2001-04-13,2001-04-17,24,,,7,.63816,,,,,,,,,
3076774,"       (2001 GP2)","2001 GP2",,,Y,N,0,26.40,,,,,,,,,,,,,,,,,,,"JPL 21",2460000.5,60000,2023-02-25.0,J2000,0.0723,1.035,0.960,1.29,195.75,108.86,159.28,1.11,0.9362,2459830.37,2022-09-07.8,385,1.05,0.00155,0.602,3.93,5.92,1.2e-07,8.7e-09,1.2e-07,3.9e-06,7.8e-05,8.3e-05,3.6e-05,9.3e-09,1.2e-08,4.1e-05,4.8e-06,APO,"Otto Matic",7157,2001-04-13,2020-11-16,63,,,0,.75105,,,,,,,,,
3074752,"       (2001 GR2)","2001 GR2",,,Y,Y,0,21.60,,,,,,,,,,,,,,,,,,,"JPL 17",2460000.5,60000,2023-02-25.0,J2000,0.6216,1.862,0.705,11.83,190.22,99.36,194.61,3.02,0.3878,2460426.95,2024-04-26.4,928,2.54,0.0122,4.76,2.34,3.71,8.2e-08,7.4e-09,1.5e-07,3.4e-05,2.7e-05,2.9e-05,2.0e-05,1.2e-08,2.3e-09,5.4e-05,5.5e-06,APO,"Otto Matic",3850,2001-04-05,2011-10-20,78,,,0,.44302,,,,,,,,,
3078253,"       (2001 GS2)","2001 GS2",,,Y,N,0,20.49,,,,,,,,,,51.11,,,,,,,,,"JPL 56",2460000.5,60000,2023-02-25.0,J2000,0.3826,1.78,1.099,18.70,24.25,148.18,88.02,2.46,0.415,2459788.42,2022-07-27.9,867,2.37,0.133,51.9,2.54,3.95,5.2e-08,1.8e-09,9.3e-08,1.6e-05,7.1e-06,1.9e-05,7.6e-06,2.5e-09,6.3e-10,1.8e-05,1.3e-06,AMO,"Otto Matic",6973,2001-04-14,2020-05-17,346,,,0,.61712,,,,,,,,,
